pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
CU,9/27/2019,80.7,-3.3342,5.2443,Jose Berrios,641531,621244,null,swinging_strike,,,,,14,null,R,R,R,KC,MIN,S,null,null,0,1,2019,1.4827,-0.0055,1.366,1.8767,null,null,null,1,5,Bot,null,null,,,553902,,190928_015354,7.6092,-117.2413,-0.732,11.7502,24.4888,-32.3351,3.42,1.65,null,null,null,79.616,2302,5.866,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,54.6337,null,null,null,null,null,null,null,46,2,Curveball,2,6,2,6,6,2,2,6,Standard,Standard
CU,9/27/2019,82,-3.3879,5.3129,Jose Berrios,641531,621244,null,called_strike,,,,,8,null,R,R,R,KC,MIN,S,null,null,0,0,2019,1.3506,-0.1051,-0.0148,1.8681,null,null,null,1,5,Bot,null,null,,,553902,,190928_015341,5.0166,-119.2261,-0.9972,11.4351,23.8189,-33.2155,3.2466,1.5529,null,null,null,80.538,2237,5.42,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,55.0793,null,null,null,null,null,null,null,46,1,Curveball,2,6,2,6,6,2,2,6,Standard,Standard
CU,9/27/2019,82.1,-3.2876,5.2742,Jose Berrios,624585,621244,sac_fly,hit_into_play_score,,,,,6,Jorge Soler out on a sacrifice fly to right fielder Jake Cave.   Whit Merrifield scores.  ,R,R,R,KC,MIN,X,9,fly_ball,1,0,2019,1.0468,0.0607,0.3983,2.4362,593160,null,null,0,5,Bot,174.97,85.02,,,553902,,190928_015316,6.3006,-119.5153,-0.0875,8.8314,20.0298,-31.8032,3.42,1.65,295,89.8,44.8,81.638,2270,5.665,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,54.8348,0.005,0,0,1,0,0,3,45,2,Curveball,1,6,1,6,6,1,1,6,Infield shift,Standard
CU,9/27/2019,83.5,-3.2458,5.3195,Jose Berrios,624585,621244,null,ball,,,,,14,null,R,R,R,KC,MIN,B,null,null,0,0,2019,0.9114,-0.2091,0.2026,1.1954,593160,null,null,0,5,Bot,null,null,,,553902,,190928_015248,6.1229,-121.4612,-2.6981,7.8376,21.1981,-33.965,3.6067,1.7784,null,null,null,83.036,2271,5.758,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,54.7413,null,null,null,null,null,null,null,45,1,Curveball,1,6,1,6,6,1,1,6,Infield shift,Standard
FF,9/27/2019,93.3,-3.1586,5.3855,Jose Berrios,593160,621244,triple,hit_into_play_no_out,,,,,11,"Whit Merrifield triples (10) on a sharp fly ball to left fielder Eddie Rosario, deflected by center fielder Ryan LaMarre.  ",R,R,R,KC,MIN,X,8,fly_ball,0,2,2019,-0.8996,0.866,-0.8415,2.7654,null,null,null,0,5,Bot,107.58,30.35,,,553902,,190928_015208,7.9504,-135.7073,-2.9473,-12.7671,26.2255,-20.9809,3.34,1.56,399,100.1,31.6,93.896,2088,6.403,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,54.0968,0.56,0.972,1.6,1,1,2,6,44,3,4-Seam Fastball,1,6,1,6,6,1,1,6,Standard,Standard
CU,9/27/2019,83,-3.2701,5.3326,Jose Berrios,593160,621244,null,foul,,,,,5,null,R,R,R,KC,MIN,S,null,null,0,1,2019,1.1664,-0.0608,0.2697,2.2089,null,null,null,0,5,Bot,null,null,,,553902,,190928_015140,5.8178,-120.8562,-0.6351,10.2799,20.9661,-32.8705,3.34,1.56,226,80.8,56.3,82.639,2278,5.767,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,54.7325,null,null,null,null,null,null,null,44,2,Curveball,1,6,1,6,6,1,1,6,Standard,Standard
FF,9/27/2019,93.7,-3.1326,5.4361,Jose Berrios,593160,621244,null,swinging_strike,,,,,2,null,R,R,R,KC,MIN,S,null,null,0,0,2019,-0.8385,1.0222,0.2051,3.2726,null,null,null,0,5,Bot,null,null,,,553902,,190928_015125,10.4421,-136.2006,-2.1547,-12.49,25.948,-19.1536,3.34,1.56,null,null,null,94.039,2177,6.253,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,54.2468,null,null,null,null,null,null,null,44,1,4-Seam Fastball,1,6,1,6,6,1,1,6,Standard,Standard
FF,9/27/2019,94.2,-3.0443,5.4784,Jose Berrios,621433,621244,strikeout,swinging_strike,,,,,1,Brett Phillips strikes out swinging.  ,R,L,R,KC,MIN,S,2,null,1,2,2019,-0.9827,1.1217,-0.6393,3.4388,null,670032,650619,2,4,Bot,null,null,,,553902,,190928_014539,8.4127,-136.9533,-2.107,-14.124,27.8103,-17.7735,3.37,1.62,null,null,null,94.443,2102,6.3,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,54.1993,null,null,0,1,0,0,null,40,4,4-Seam Fastball,1,6,1,6,6,1,1,6,Standard,Standard
FF,9/27/2019,93.2,-3.1317,5.3969,Jose Berrios,621433,621244,null,swinging_strike,,,,,4,null,R,L,R,KC,MIN,S,null,null,1,1,2019,-1.094,1.0927,-0.7568,2.5594,null,670032,650619,2,4,Bot,null,null,,,553902,,190928_014518,8.4925,-135.5808,-3.9576,-15.2475,27.1827,-18.0521,3.37,1.62,null,null,null,93.49,2099,6.291,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,54.2086,null,null,null,null,null,null,null,40,3,4-Seam Fastball,1,6,1,6,6,1,1,6,Standard,Standard
FF,9/27/2019,94.1,-3.1382,5.4448,Jose Berrios,621433,621244,null,ball,,,,,11,null,R,L,R,KC,MIN,B,null,null,0,1,2019,-1.0171,0.9581,-1.3395,3.5096,null,670032,650619,2,4,Bot,null,null,,,553902,,190928_014502,6.8922,-136.8708,-1.4525,-14.1996,28.1014,-20.0394,3.37,1.62,null,null,null,94.19,2064,6.21,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,54.2897,null,null,null,null,null,null,null,40,2,4-Seam Fastball,1,6,1,6,6,1,1,6,Standard,Standard
