"round","seed.1","name.1","link.1","games.1","win_pct.1","srs.1","sos.1","win_pct_home.1","win_pct_away.1","win_pct_conf.1","pts_pg.1","opp_pts_pg.1","mp.1","fg_pg.1","fg_pct.1","fg3_pg.1","fg3_pct.1","ft_pg.1","ft_pct.1","orb_pg.1","trb_pg.1","ast_pg.1","stl_pg.1","blk_pg.1","tov_pg.1","pf_pg.1","seed.2","name.2","link.2","games.2","win_pct.2","srs.2","sos.2","win_pct_home.2","win_pct_away.2","win_pct_conf.2","pts_pg.2","opp_pts_pg.2","mp.2","fg_pg.2","fg_pct.2","fg3_pg.2","fg3_pct.2","ft_pg.2","ft_pct.2","orb_pg.2","trb_pg.2","ast_pg.2","stl_pg.2","blk_pg.2","tov_pg.2","pf_pg.2"
1,5,"Saint Mary's","/cbb/schools/saint-marys-ca/2022.html",32,0.781,14.83,6.48,1,0.6,0.8,69.75,60.5,1280,26.15625,0.463,7.15625,0.35,10.28125,0.762,8.59375,33.8125,13.4375,7,2.5625,11.34375,15.59375,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,"UCLA","/cbb/schools/ucla/2022.html",32,0.781,20.34,8.78,0.933333333333333,0.666666666666667,0.75,76.375,64.8125,1305,27.9375,0.45,6.875,0.351,13.625,0.736,11.59375,37.0625,13.96875,7.03125,3.3125,9.15625,16.25,13,"Akron","/cbb/schools/akron/2022.html",33,0.727,0.83,-4.3,0.8,0.666666666666667,0.7,71.1818181818182,62.8181818181818,1325,24.4242424242424,0.462,7.90909090909091,0.357,14.4242424242424,0.687,9.87878787878788,34.969696969697,11.8787878787879,5.84848484848485,3.27272727272727,11.4545454545455,15.7878787878788
1,6,"Texas","/cbb/schools/texas/2022.html",32,0.656,17.19,8.47,0.842105263157895,0.363636363636364,0.555555555555556,68.34375,59.625,1290,24.3125,0.442,6.40625,0.323,13.3125,0.749,10.40625,33.5625,13.03125,7.71875,3.40625,11.78125,17.40625,11,"Virginia Tech","/cbb/schools/virginia-tech/2022.html",35,0.657,14.17,5.71,0.733333333333333,0.538461538461538,0.55,70.7428571428571,62.2857142857143,1405,26,0.471,9,0.393,9.74285714285714,0.743,8.6,32.2,14.4,5.37142857142857,3.2,10.8,14.7428571428571
1,3,"Purdue","/cbb/schools/purdue/2022.html",34,0.794,19.77,8.74,0.941176470588235,0.5,0.7,79.7941176470588,68.7647058823529,1375,28.2352941176471,0.493,8.73529411764706,0.391,14.5882352941176,0.703,11.2058823529412,38.5588235294118,16.6176470588235,4.61764705882353,3.5,11.6764705882353,14.3529411764706,14,"Yale","/cbb/schools/yale/2022.html",30,0.633,0.11,-1.92,0.769230769230769,0.5,0.785714285714286,72.3333333333333,68.8333333333333,1205,25.7333333333333,0.444,6.93333333333333,0.33,13.9333333333333,0.739,8.9,35.9666666666667,11.9,6.23333333333333,3.16666666666667,12.8666666666667,17.4
1,7,"Murray State","/cbb/schools/murray-state/2022.html",32,0.938,10.46,-3.54,1,0.916666666666667,1,79.3125,62.28125,1280,29.03125,0.479,8.0625,0.353,13.1875,0.694,12.5,39.1875,14.71875,7.90625,3.125,11.40625,14.96875,10,"San Francisco","/cbb/schools/san-francisco/2022.html",33,0.727,14.85,5.53,0.777777777777778,0.777777777777778,0.625,77.0606060606061,67.030303030303,1320,27.6363636363636,0.457,9.63636363636364,0.354,12.1515151515152,0.696,10.6666666666667,37.9393939393939,13.1212121212121,7.6969696969697,4.60606060606061,12.8787878787879,17.9090909090909
1,2,"Kentucky","/cbb/schools/kentucky/2022.html",33,0.788,21.85,8.39,1,0.545454545454545,0.777777777777778,79.4545454545455,66,1325,30.4242424242424,0.485,6.15151515151515,0.349,12.4545454545455,0.73,12.9393939393939,40.2727272727273,16.0909090909091,6.81818181818182,4.18181818181818,11.5454545454545,14.2424242424242,15,"St. Peter's","/cbb/schools/saint-peters/2022.html",30,0.633,0.84,-3.09,0.692307692307692,0.5,0.7,66.8666666666667,61.7666666666667,1205,23.5666666666667,0.431,5.86666666666667,0.353,13.8666666666667,0.683,11,36.2,12.2,7.26666666666667,4.93333333333333,13.8666666666667,19.5
1,1,"Arizona","/cbb/schools/arizona/2022.html",34,0.912,24,6.97,1,0.75,0.9,84.5588235294118,67.5294117647059,1365,30.4411764705882,0.496,7.76470588235294,0.354,15.9117647058824,0.738,11.4411764705882,41.3529411764706,19.9117647058824,6.70588235294118,5.70588235294118,13.1764705882353,16.4705882352941,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,"Seton Hall","/cbb/schools/seton-hall/2022.html",31,0.677,13.94,8.67,0.8125,0.545454545454545,0.578947368421053,72.9032258064516,66.3225806451613,1245,25.5806451612903,0.423,7.35483870967742,0.34,14.3870967741935,0.757,12.2258064516129,38.9354838709677,10.3548387096774,7.03225806451613,5.45161290322581,12,15.5806451612903,9,"TCU","/cbb/schools/texas-christian/2022.html",32,0.625,12.88,9.78,0.75,0.4,0.444444444444444,68.09375,65,1285,25.28125,0.441,5.5625,0.304,11.96875,0.668,12.9375,38.71875,13.625,6.28125,4.21875,14.53125,15.3125
1,5,"Houston","/cbb/schools/houston/2022.html",34,0.853,22.28,5.34,0.941176470588235,0.7,0.833333333333333,75.8235294117647,58.8823529411765,1375,28.1470588235294,0.469,8,0.341,11.5294117647059,0.669,13.3529411764706,39.2352941176471,16.7352941176471,8.23529411764706,5.20588235294118,11.3235294117647,17.3823529411765,12,"UAB","/cbb/schools/alabama-birmingham/2022.html",34,0.794,11.13,-0.68,0.888888888888889,0.636363636363636,0.777777777777778,80.6764705882353,66.2941176470588,1375,29.6764705882353,0.468,7.97058823529412,0.379,13.3529411764706,0.738,12.2058823529412,38.4411764705882,12.9705882352941,9.64705882352941,4.26470588235294,11.4705882352941,16.6176470588235
1,4,"Illinois","/cbb/schools/illinois/2022.html",31,0.71,17.76,9.64,0.8125,0.636363636363636,0.75,75.7741935483871,67.6451612903226,1250,26.6774193548387,0.453,9.2258064516129,0.367,13.1935483870968,0.708,11.5806451612903,38.6129032258064,15.3870967741935,5.16129032258065,3,12.1612903225806,16.3548387096774,13,"Chattanooga","/cbb/schools/chattanooga/2022.html",34,0.794,5.94,-1.38,0.8,0.75,0.777777777777778,74.7941176470588,64.6764705882353,1370,27.5,0.469,8,0.346,11.7941176470588,0.752,10.6470588235294,35.9117647058824,13.0294117647059,7.17647058823529,2.20588235294118,11,15.4705882352941
