"round","seed.1","name.1","link.1","score.1","games.1","win_pct.1","srs.1","sos.1","win_pct_home.1","win_pct_away.1","win_pct_conf.1","pts_pg.1","opp_pts_pg.1","fg_pg.1","fg_pct.1","fg3_pg.1","fg3_pct.1","ft_pg.1","ft_pct.1","orb_pg.1","trb_pg.1","ast_pg.1","stl_pg.1","blk_pg.1","tov_pg.1","pf_pg.1","seed.2","name.2","link.2","score.2","games.2","win_pct.2","srs.2","sos.2","win_pct_home.2","win_pct_away.2","win_pct_conf.2","pts_pg.2","opp_pts_pg.2","fg_pg.2","fg_pct.2","fg3_pg.2","fg3_pct.2","ft_pg.2","ft_pct.2","orb_pg.2","trb_pg.2","ast_pg.2","stl_pg.2","blk_pg.2","tov_pg.2","pf_pg.2","year","winner","point_diff"
1,14,"Western Michigan","/cbb/schools/western-michigan/men/2014.html",53,33,0.697,1.73,-1.45,0.8666667,0.4615385,0.7777778,71.90909,67.72727,23.60606,0.463,5.909091,0.329,18.78788,0.724,9.787879,34.63636,11.39394,5.878788,3.363636,14.06061,18.24242,3,"Syracuse","/cbb/schools/syracuse/men/2014.html",77,34,0.824,16.05,7.25,0.8888889,0.8,0.7777778,67.97059,59.17647,24.08824,0.437,4.911765,0.331,14.88235,0.708,13.11765,35.29412,11.82353,7.970588,5.029412,9,16.05882,2014,"team2",-24
1,10,"Stanford","/cbb/schools/stanford/men/2014.html",58,36,0.639,13.42,9,0.75,0.5454545,0.5555556,72.66667,68.25,24.88889,0.459,5.777778,0.364,17.11111,0.702,9.638889,34.91667,11.52778,5.305556,4.277778,11.36111,18.19444,7,"New Mexico","/cbb/schools/new-mexico/men/2014.html",53,34,0.794,12.72,4.84,0.8666667,0.8,0.8333333,74,66.11765,24.91176,0.458,5.794118,0.332,18.38235,0.724,10.58824,38.11765,15.35294,4.764706,5.058824,10.61765,16.97059,2014,"team1",5
1,15,"Eastern Kentucky","/cbb/schools/eastern-kentucky/men/2014.html",69,34,0.706,0.6,-4.34,0.8571429,0.5714286,0.6875,78.73529,70.91176,25.91176,0.487,9.264706,0.39,17.64706,0.752,7.147059,26,14.64706,8.794118,1.970588,10.55882,20.79412,2,"Kansas","/cbb/schools/kansas/men/2014.html",80,35,0.714,20.25,11.4,0.9333333,0.4545455,0.7777778,78.97143,70.11429,27.28571,0.493,5.4,0.34,19,0.711,11.88571,38.17143,14.94286,5.828571,5.6,13.22857,20.91429,2014,"team2",-11
2,9,"Pitt","/cbb/schools/pittsburgh/men/2014.html",45,36,0.722,17.46,7.54,0.7222222,0.7777778,0.6111111,71.83333,61.91667,24.86111,0.46,5.083333,0.351,17.02778,0.712,12,35.86111,15.63889,7.055556,2.972222,10.36111,17.22222,1,"Florida","/cbb/schools/florida/men/2014.html",61,39,0.923,20.69,8.54,1,0.8333333,1,69.92308,57.76923,24.23077,0.46,6.538462,0.359,14.92308,0.668,11.20513,35.51282,13.05128,7.025641,3.025641,10.71795,15.66667,2014,"team2",-16
2,4,"UCLA","/cbb/schools/ucla/men/2014.html",77,37,0.757,18.4,7.62,0.8888889,0.5,0.6666667,81.16216,70.37838,29,0.489,6.189189,0.38,16.97297,0.749,9.945946,35.35135,17.18919,9.216216,3,10.24324,17.62162,12,"Stephen F. Austin","/cbb/schools/stephen-f-austin/men/2014.html",60,35,0.914,4.82,-6.76,1,0.875,1,76.02857,63.4,26.34286,0.463,7.085714,0.345,16.25714,0.711,12.88571,33.88571,16.4,7.342857,2.971429,11.22857,20.85714,2014,"team1",17
2,3,"Syracuse","/cbb/schools/syracuse/men/2014.html",53,34,0.824,16.05,7.25,0.8888889,0.8,0.7777778,67.97059,59.17647,24.08824,0.437,4.911765,0.331,14.88235,0.708,13.11765,35.29412,11.82353,7.970588,5.029412,9,16.05882,11,"Dayton","/cbb/schools/dayton/men/2014.html",55,37,0.703,10.55,5.34,0.7647059,0.6363636,0.625,72.18919,66.97297,25.27027,0.463,6.567568,0.377,15.08108,0.681,11.18919,34.83784,13.10811,6,2.594595,11.94595,19.89189,2014,"team2",-2
2,2,"Kansas","/cbb/schools/kansas/men/2014.html",57,35,0.714,20.25,11.4,0.9333333,0.4545455,0.7777778,78.97143,70.11429,27.28571,0.493,5.4,0.34,19,0.711,11.88571,38.17143,14.94286,5.828571,5.6,13.22857,20.91429,10,"Stanford","/cbb/schools/stanford/men/2014.html",60,36,0.639,13.42,9,0.75,0.5454545,0.5555556,72.66667,68.25,24.88889,0.459,5.777778,0.364,17.11111,0.702,9.638889,34.91667,11.52778,5.305556,4.277778,11.36111,18.19444,2014,"team2",-3
3,4,"UCLA","/cbb/schools/ucla/men/2014.html",68,37,0.757,18.4,7.62,0.8888889,0.5,0.6666667,81.16216,70.37838,29,0.489,6.189189,0.38,16.97297,0.749,9.945946,35.35135,17.18919,9.216216,3,10.24324,17.62162,1,"Florida","/cbb/schools/florida/men/2014.html",79,39,0.923,20.69,8.54,1,0.8333333,1,69.92308,57.76923,24.23077,0.46,6.538462,0.359,14.92308,0.668,11.20513,35.51282,13.05128,7.025641,3.025641,10.71795,15.66667,2014,"team2",-11
3,10,"Stanford","/cbb/schools/stanford/men/2014.html",72,36,0.639,13.42,9,0.75,0.5454545,0.5555556,72.66667,68.25,24.88889,0.459,5.777778,0.364,17.11111,0.702,9.638889,34.91667,11.52778,5.305556,4.277778,11.36111,18.19444,11,"Dayton","/cbb/schools/dayton/men/2014.html",82,37,0.703,10.55,5.34,0.7647059,0.6363636,0.625,72.18919,66.97297,25.27027,0.463,6.567568,0.377,15.08108,0.681,11.18919,34.83784,13.10811,6,2.594595,11.94595,19.89189,2014,"team2",-10
4,11,"Dayton","/cbb/schools/dayton/men/2014.html",52,37,0.703,10.55,5.34,0.7647059,0.6363636,0.625,72.18919,66.97297,25.27027,0.463,6.567568,0.377,15.08108,0.681,11.18919,34.83784,13.10811,6,2.594595,11.94595,19.89189,1,"Florida","/cbb/schools/florida/men/2014.html",62,39,0.923,20.69,8.54,1,0.8333333,1,69.92308,57.76923,24.23077,0.46,6.538462,0.359,14.92308,0.668,11.20513,35.51282,13.05128,7.025641,3.025641,10.71795,15.66667,2014,"team2",-10
1,16,"Weber State","/cbb/schools/weber-state/men/2014.html",59,31,0.613,-0.92,-4.23,0.8666667,0.3571429,0.7,72.70968,66.48387,23.6129,0.475,7.16129,0.392,18.32258,0.741,8.548387,34.35484,13.12903,4.225806,3.967742,12.32258,18,1,"Arizona","/cbb/schools/arizona/men/2014.html",68,38,0.868,23.36,9.04,1,0.7272727,0.8333333,72.86842,58.55263,26.21053,0.469,5.368421,0.364,15.07895,0.659,12.23684,38.13158,15.10526,5.868421,4.552632,10.18421,16.57895,2014,"team2",-9
1,9,"Oklahoma State","/cbb/schools/oklahoma-state/men/2014.html",77,34,0.618,19.02,8.34,0.8125,0.3,0.4444444,80.23529,69.55882,26.41176,0.463,7.029412,0.364,20.38235,0.719,9.764706,35.38235,13.61765,7.647059,4.705882,10.47059,20,8,"Gonzaga","/cbb/schools/gonzaga/men/2014.html",85,36,0.806,15.56,5.36,1,0.6666667,0.8333333,76.69444,65.88889,27,0.495,7.083333,0.397,15.61111,0.709,9.527778,35.86111,14.58333,6.527778,3.944444,11.63889,18.30556,2014,"team2",-8
1,12,"North Dakota State","/cbb/schools/north-dakota-state/men/2014.html",80,33,0.788,6.31,-0.02,0.9230769,0.6666667,0.8571429,75.51515,65.57576,26.90909,0.505,5.333333,0.364,16.36364,0.751,9.30303,32.75758,11.57576,6.242424,4.393939,9.848485,17.81818,5,"Oklahoma","/cbb/schools/oklahoma/men/2014.html",75,33,0.697,14.91,8.97,0.8235294,0.5555556,0.6666667,81.93939,76,27.54545,0.447,8.636364,0.379,18.21212,0.749,12.06061,37.63636,14.63636,6.787879,3.272727,11.39394,18.93939,2014,"team1",5
1,13,"New Mexico State","/cbb/schools/new-mexico-state/men/2014.html",69,36,0.722,6.16,-2.58,0.9333333,0.5333333,0.75,76.97222,67.08333,26,0.488,5.388889,0.371,19.58333,0.686,11.88889,37.38889,13.16667,4.694444,6.222222,12.69444,17.05556,4,"San Diego State","/cbb/schools/san-diego-state/men/2014.html",73,36,0.861,14.95,4.86,0.9375,0.8181818,0.8888889,70.27778,57,24.25,0.435,5.166667,0.358,16.61111,0.663,13.05556,37.88889,9.888889,7.611111,5.083333,9.861111,16.66667,2014,"team2",-4
1,11,"Nebraska","/cbb/schools/nebraska/men/2014.html",60,32,0.594,10.13,8.5,0.9375,0.2727273,0.6111111,66.78125,65.15625,22.46875,0.427,5.875,0.333,15.96875,0.717,8.6875,33.09375,9.5,6.9375,3.09375,10.90625,20.625,6,"Baylor","/cbb/schools/baylor/men/2014.html",74,38,0.684,15.8,10.11,0.7647059,0.5,0.5,74.81579,67.81579,25.23684,0.455,7.368421,0.386,16.97368,0.68,13.81579,38.31579,14.81579,5.184211,5.315789,11.57895,17.05263,2014,"team2",-14
1,14,"Louisiana","/cbb/schools/louisiana-lafayette/men/2014.html",66,35,0.657,2.91,-0.28,0.8666667,0.4,0.6111111,81,75.22857,28.22857,0.465,7.028571,0.367,17.51429,0.671,13.25714,37.97143,13.48571,7.142857,4.114286,13.11429,20.97143,3,"Creighton","/cbb/schools/creighton/men/2014.html",76,35,0.771,18.03,7.17,1,0.6363636,0.7777778,78.74286,67.88571,27.34286,0.497,10.17143,0.414,13.88571,0.743,8.371429,34.05714,17.54286,3.971429,1.4,9.771429,17.65714,2014,"team2",-10
1,10,"BYU","/cbb/schools/brigham-young/men/2014.html",68,35,0.657,11.63,5.72,0.9333333,0.4166667,0.7222222,83.74286,77.31429,28.91429,0.463,5.057143,0.355,20.85714,0.692,13.22857,40.91429,15.54286,7.171429,2.942857,11.28571,19.71429,7,"Oregon","/cbb/schools/oregon/men/2014.html",87,34,0.706,15.75,8.05,0.8333333,0.5,0.5555556,81.85294,74.14706,27.29412,0.469,7.617647,0.389,19.64706,0.772,10.47059,34.08824,14.47059,7.735294,3.323529,11.44118,21.32353,2014,"team2",-19
